,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
139,A Cold Plan,-2021.0,0,Thriller,6.0,,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj,Sanjay Raj Ansh Chaturvedi Jigyasa Tiwari Anurag Bhardwaj
140,A Daughter's Dream,-2014.0,0,"Drama, Family, Sport",6.0,,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain,Manto Pashupatinath Bhavana Singh Chauhan Akhilendra Mishra Abhilash Narain
141,A Daughter's Tale PANKH,-2017.0,145,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,Premraaj Rajinder Verma Sunil Lahri Nishigandha Wad
142,A Death in the Gunj,-2016.0,110,"Drama, Thriller",7.5,"4,637",Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,Konkona Sen Sharma Kalki Koechlin Vikrant Massey Gulshan Devaiah
143,A Dream Document,-2016.0,70,Documentary,6.0,,Rupak Das,,,,Rupak Das   
144,A Far Afternoon: a Painted Saga by Krishen Khanna,-2015.0,72,"Documentary, Biography",7.7,10,Sruti Harihara Subramanian,,,,Sruti Harihara Subramanian   
145,A Film by Aravind,-2005.0,150,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,Sekhar Suri Sherlyn Chopra Rajeev Kanakala Richard Rishi
146,A Flat,-2010.0,103,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,Hemant Madhukar Jimmy Sheirgill Sanjay Suri Hazel Croney
147,A Flying Jatt,-2016.0,151,"Action, Adventure, Comedy",3.0,"4,145",Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,Remo D'Souza Tiger Shroff Jacqueline Fernandez Nathan Jones
148,A Game Called Relationship,-2020.0,109,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,Vivek Sharma Mandy Takhar Vivek Sharma Sumit Suri
149,A Gentleman,-2017.0,145,"Action, Comedy",6.2,"5,227",Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,Krishna D.K. Raj Nidimoru Sidharth Malhotra Jacqueline Fernandez
150,A Gift of Love: Sifar,-2019.0,95,"Drama, Romance",8.0,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,Dhruv Sachdev Sanjay Deyali Sudha Chandran Anang Desai
151,A Handful of Grain,-1959.0,92,Drama,6.0,,Mehboob Khan,,,,Mehboob Khan   
152,A Journey of Samyak Buddha,-2013.0,127,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,Praveen Damle Geeta Agrawal Jyoti Bagat Gautam Dhengare
153,A Mermaid Called Aida,-1996.0,52,Documentary,6.4,7,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,,Riyad Vinci Wadia Aida Banaji Ajay Mehta 
154,A Mistake (Ek Galti),-2021.0,0,Thriller,6.0,,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil,Chand Mehta Hrishitaa Bhatt Gulshan Pandey Jimmy Shergil
155,A New Love Ishtory,-2013.0,140,Romance,6.0,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,John Mathew Matthan Raqesh Bapat Gurpreet Kaur Chadha Smita Jaykar
156,A Night in Calcutta,-1970.0,0,Drama,6.0,,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev,Amrit Mahendra Master Bhagwan Simi Garewal Jagdev
157,A Rape Song,-2019.0,75,"Crime, Drama",6.0,,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,,Jacob Paul Uday Bhan Mourya Anjali Ujawane 
158,A Rifle and a Bag,-2020.0,89,Documentary,6.8,15,Cristina Hanes,Isabella Rinaldi,Arya Rothe,,Cristina Hanes Isabella Rinaldi Arya Rothe 
159,A Scandall,-2016.0,112,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,Ishaan Trivedi Johnny Baweja Reeth Mazumder-Roberts Manav Kaul
160,A Separate Sky,-2021.0,0,Drama,6.0,,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das,Raajhorshee De Sayan Chakraborty Sudiptaa Chakraborty Ranita Das
161,A Sketch Killer: Who's Next,-1997.0,0,Thriller,6.0,,Vinod Alva,Kalyan Kumar,Raghuvaran,,Vinod Alva Kalyan Kumar Raghuvaran 
162,A Small Family,-1976.0,0,Documentary,6.0,,Fali Bilimoria,,,,Fali Bilimoria   
163,A Song for No One,-1991.0,0,"Comedy, Drama, Music",6.0,,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,,Arturo Alanis Garza Kavya Trehan Victoria Kuhne 
164,A Story of a Call Girl,-2000.0,0,Thriller,6.0,,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri,Teerat Singh Pinky Chinoy Ali Khan Anjali Kolhapuri
165,A Strange Love Story,-2011.0,0,Drama,3.8,15,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi,Tarique Khan Sahil Seth Gunjan Bakshi Snehal Dabi
166,A Sublime Love Story: Barsaat,-2005.0,143,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,Suneel Darshan Bobby Deol Bipasha Basu Priyanka Chopra Jonas
167,A Suitable Girl,-2017.0,90,Documentary,6.9,337,Sarita Khurana,Smriti Mundhra,Sima Taparia,,Sarita Khurana Smriti Mundhra Sima Taparia 
168,A Thin Line,-2019.0,104,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,Vierendrra Lalit Trivikram Mattoo Rahul Roy Akansha Shivhare
169,A Thursday,-2021.0,0,"Drama, Thriller",6.0,,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia,Behzad Khambata Dimple Kapadia Yami Gautam Neha Dhupia
170,A Treasure in the Snow,-2002.0,0,Documentary,6.9,8,Goutam Ghose,,,,Goutam Ghose   
171,A Twist of Date,-2017.0,110,"Comedy, Horror, Mystery",6.0,,Kashmera Shah,Kashmera Shah,,,Kashmera Shah Kashmera Shah  
172,A Wednesday,-2008.0,104,"Action, Crime, Drama",8.1,"75,118",Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Neeraj Pandey Anupam Kher Naseeruddin Shah Jimmy Sheirgill
173,A.R Rahman Encore Tour,-2017.0,0,Musical,6.0,,Deepak Gattani,A.R. Rahman,,,Deepak Gattani A.R. Rahman  
174,Aa Ab Laut Chalen,-1999.0,177,"Musical, Romance, Drama",5.5,"1,621",Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,Rishi Kapoor Rajesh Khanna Akshaye Khanna Aishwarya Rai Bachchan
175,AA BB KK,-2018.0,121,Drama,8.0,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,Ramkumar Shedge Shravani Abhang Sajid Ali Tamannaah Bhatia
176,Aa Bhi Ja O Piya,-2021.0,140,"Family, Romance",6.0,,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag,Rajesh Harivansh Mishra Abhijeet Lahiri Akanksha Sinha Mukul Nag
177,Aa Dekhen Zara,-2009.0,117,"Action, Sci-Fi, Thriller",5.0,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,Jehangir Surti Neil Nitin Mukesh Bipasha Basu Sophiya Chaudhary
178,Aa Gale Lag Jaa,-1973.0,148,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,Manmohan Desai Shashi Kapoor Sharmila Tagore Shatrughan Sinha
179,Aa Gale Lag Jaa,-1994.0,158,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal,Hamid Ali Khan Jugal Hansraj Urmila Matondkar Paresh Rawal
180,Aa Gaya Hero,-2017.0,123,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,Dipankar Senapati Govinda Richa Sharma Poonam Pandey
181,Aa Jao Please,-2016.0,120,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya,Azad Jain Neha Chauhan Ganraj Jadhav Dipak Khetiya
182,Aaag Hi Aag,-1999.0,0,Action,4.9,28,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha,T.L.V. Prasad Mithun Chakraborty Jackie Shroff Sneha
183,Aabra Ka Daabra,-2004.0,144,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik,Dheeraj Kumar Naveen Bawa Prabhu Deva Satish Kaushik
184,Aabroo,-1956.0,0,Romance,6.0,,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri,Chaturbhuj Doshi Kamini Kaushal Kishore Kumar Madan Puri
185,Aabroo,-1968.0,170,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,Ashok Kumar,Vimi,Rehman,C.L. Rawal Ashok Kumar Vimi Rehman
186,Aabroo,-1943.0,0,,5.2,5,Nazir,,,,Nazir   
187,Aabshar,-1953.0,0,"Drama, Romance",5.0,5,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar,Hasrat Lucknowi Iftekhar Kuldip Kaur Raaj Kumar
188,Aadab Arz,-1943.0,0,,5.2,5,V.C. Desai,Nalini Jaywant,Mukesh,,V.C. Desai Nalini Jaywant Mukesh 
189,Aadab Hyderabad,-2007.0,104,,6.0,,Sanjay Punjabi,,,,Sanjay Punjabi   
190,Aadamkhor,-1986.0,0,Action,5.5,6,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra,Joginder Shelly Sona Mastan Mirza Joginder Shelly Neelam Mehra
191,Aadamkhor,-2018.0,72,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat,Kshitij Sharma Deeya Dey Anoma Pabuwal Mahendra Singh Rawat
192,Aadamkhor Hasina,-2002.0,0,Action,6.0,,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori,Salim Suma Poonam Dasgupta Raza Murad Amit Pachori
193,Aadarniy Pitaji,-2020.0,0,Family,6.0,,Prashant Kumar,,,,Prashant Kumar   
194,Aadarsh,-1983.0,0,Drama,6.0,,,,,,   
195,Aadat,-1989.0,0,,6.0,,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj,Dev Malhotra Madhuri Mishra Ashok Pandey Reema Raj
196,Aadat Se Majboor,-1982.0,105,"Action, Crime, Drama",5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri,Ambrish Sangal Mithun Chakraborty Rameshwari Madan Puri
197,Aadha Din Aadhee Raat,-1977.0,132,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi,Doondi Jalal Agha Vinod Khanna Shabana Azmi
198,Aadhaar,-2019.0,107,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav,Suman Ghosh Vineet Kumar Singh Saurabh Shukla Raghuvir Yadav
199,Aadhaar,-2004.0,0,Drama,6.0,,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat,Shorya Veer Saagar Saurabh Agnihotri Aryan Harnot Pooja Raawat
200,Aadharshila,-1982.0,154,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta,Ashok Ahuja Dolly Ahluwalia Raja Bundela Neena Gupta
201,Aadhe Adhure,-1996.0,0,Drama,6.0,,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit,Pooja Choudhary Tushar Dalvi Narendra Gupta Rekha Purohit
202,Aadhi Bhagavan,-2013.0,157,"Action, Crime, Thriller",5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran,Ameer Sultan Jayam Ravi Neetu Chandra Sudha Chandran
203,"Aadhi Haqeeqat, Aadha Fasana",-1990.0,88,Documentary,6.0,,Dilip Ghosh,,,,Dilip Ghosh   
204,Aadhi Mimansa,-1991.0,0,,6.2,9,Apurba Kishore Bir,Mohan Gokhale,Neena Gupta,Ashok Kumar,Apurba Kishore Bir Mohan Gokhale Neena Gupta Ashok Kumar
205,Aadhi Raat,-1957.0,0,,6.0,,Chandrakant,,,,Chandrakant   
206,Aadhi Raat,-1950.0,115,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur,S.K. Ojha Cuckoo Jeevan Kuldip Kaur
207,Aadhi Raat,-1999.0,0,Horror,6.0,,Hriday Shankar,Manoj Bakshi,Satyendra Kapoor,Satnam Kaur,Hriday Shankar Manoj Bakshi Satyendra Kapoor Satnam Kaur
208,Aadhi Roti,-1957.0,0,Drama,6.0,,Chandrakant,Prem Adib,Master Bhagwan,Daisy Irani,Chandrakant Prem Adib Master Bhagwan Daisy Irani
209,Aadhi Zindagi Aadhi Maut,-1986.0,0,Thriller,6.0,,V. Menon,Aparajita,Abhi Bhattacharya,Sargam,V. Menon Aparajita Abhi Bhattacharya Sargam
210,Aadi Shakti,-1992.0,0,Action,6.0,,Govind Singh,Raza Murad,Yunus Parvez,,Govind Singh Raza Murad Yunus Parvez 
211,Aadmi,-1968.0,175,"Drama, Romance",6.8,196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar,A. Bhimsingh Dilip Kumar Waheeda Rehman Manoj Kumar
212,Aadmi,-1993.0,153,"Action, Crime, Drama",6.5,97,Arshad Khan,Ajit,Vikas Anand,Arjun,Arshad Khan Ajit Vikas Anand Arjun
213,Aadmi Aur Apsara,-1991.0,142,Fantasy,6.7,66,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri,J. Om Prakash K. Raghavendra Rao Chiranjeevi Amrish Puri
214,Aadmi Aur Aurat,-2001.0,0,Thriller,6.0,,Alka Kubal,Raza Murad,Ramanna,,Alka Kubal Raza Murad Ramanna 
215,Aadmi Aur Insaan,-1969.0,168,"Drama, Romance, Thriller",6.2,149,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan,Yash Chopra Dharmendra Saira Banu Feroz Khan
216,Aadmi Khilona Hai,-1993.0,158,"Drama, Romance",5.0,142,J. Om Prakash,Jeetendra,Reena Roy,Govinda,J. Om Prakash Jeetendra Reena Roy Govinda
217,Aadmi Ki Aurat Aur Anya Kahaniya,-2009.0,78,Drama,7.6,62,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi,Amit Dutta Ashok Chaudhary Bramhaswaroop Mishra Gagan Singh Sethi
218,Aadmi Sadak Ka,-1977.0,138,"Drama, Family",5.4,34,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera,Devendra Goel Shatrughan Sinha Vikram Makandar Zaheera
219,Aadupuliyattam,-2016.0,145,Horror,4.2,266,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri,Kannan Thamarakkulam Jayaram Ramya Krishnan Om Puri
220,Aafat,-1977.0,148,"Crime, Drama",5.3,17,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.,Atma Ram Navin Nischol Leena Chandavarkar Jayshree T.
221,Aafat-e-Ishq,-2021.0,0,"Comedy, Thriller",6.0,,Indrajit Nattoji,Amit Sial,Neha Sharma,Garima Jain,Indrajit Nattoji Amit Sial Neha Sharma Garima Jain
222,Aafreen,-2021.0,0,Romance,6.0,,Manjeet Rai,Chitransh Raaj,Prishita Tiwari,Sapna Shetty,Manjeet Rai Chitransh Raaj Prishita Tiwari Sapna Shetty
223,Aag,-1948.0,138,"Musical, Romance",7.4,357,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana,Raj Kapoor Nargis Kamini Kaushal Nigar Sultana
224,Aag,-1967.0,0,"Action, Drama",6.2,29,Naresh Kumar,Feroz Khan,Mumtaz,Achala Sachdev,Naresh Kumar Feroz Khan Mumtaz Achala Sachdev
225,Aag,-1994.0,139,"Action, Comedy, Drama",4.6,227,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre,K. Ravi Shankar Govinda Shilpa Shetty Kundra Sonali Bendre
226,Aag Andhi Aur Toofan,-1994.0,0,"Action, Thriller",3.1,11,Kanti Shah,Amit Dhamija,Mukesh Khanna,Kiran Kumar,Kanti Shah Amit Dhamija Mukesh Khanna Kiran Kumar
227,Aag aur Angaray,-1990.0,0,Action,6.0,,Vikaram Naroo,Rakesh Bedi,Birbal,Gulshan Grover,Vikaram Naroo Rakesh Bedi Birbal Gulshan Grover
228,Aag Aur Chingari,-1994.0,133,Action,4.1,13,Kanti Shah,Alpana,Aparajita,Asrani,Kanti Shah Alpana Aparajita Asrani
229,Aag Aur Daag,-1970.0,0,"Action, Comedy, Drama",3.7,14,A. Salaam,Joy Mukherjee,Poonam Sinha,Master Bhagwan,A. Salaam Joy Mukherjee Poonam Sinha Master Bhagwan
230,Aag Aur Shabab,-1990.0,101,Thriller,6.0,,Ravi Kumar,Madhuri,Captain Raju,,Ravi Kumar Madhuri Captain Raju 
231,Aag Aur Shola,-1986.0,0,"Action, Drama, Romance",4.1,42,K. Bapaiah,Jeetendra,Sridevi,Mandakini,K. Bapaiah Jeetendra Sridevi Mandakini
232,Aag Aur Shola,-2001.0,0,Action,6.0,,Ravi Raja Pinisetty,Kiran Rathod,Flora Saini,Raj Shekhar,Ravi Raja Pinisetty Kiran Rathod Flora Saini Raj Shekhar
233,Aag Aur Tezaab,-1998.0,0,Action,6.0,,Israr Ahmed,Jagdish Sidana,Satish Kaul,Kader Khan,Israr Ahmed Jagdish Sidana Satish Kaul Kader Khan
234,Aag Aur Toofan,-1975.0,0,"Action, Drama, Thriller",6.0,,Tanvir Ahmed,Mumtaz,Robin Kumar,Anwar Hussain,Tanvir Ahmed Mumtaz Robin Kumar Anwar Hussain
235,Aag Hi Aag,-1987.0,170,Action,5.3,93,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee,Shibu Mitra Dharmendra Shatrughan Sinha Moushumi Chatterjee
236,Aag Ka Dariya,-1990.0,0,Action,4.2,22,S.V. Rajendra Singh Babu,Avtar Gill,Rajiv Kapoor,Padmini Kolhapure,S.V. Rajendra Singh Babu Avtar Gill Rajiv Kapoor Padmini Kolhapure
237,Aag Ka Dariya,-1953.0,0,"Drama, Family",6.0,,Roop K. Shorey,Meena Shorey,Karan Dewan,Prithviraj Kapoor,Roop K. Shorey Meena Shorey Karan Dewan Prithviraj Kapoor
238,Aag Ka Gola,-1990.0,180,"Action, Drama",4.8,101,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh,David Dhawan Sunny Deol Dimple Kapadia Archana Puran Singh
239,Aag Ka Gola,-2002.0,0,Action,6.0,,Kishan Shah,Junior Amitabh Bachchan,Junior Mithun Chakraborthy,Junior Sanjay Dutt,Kishan Shah Junior Amitabh Bachchan Junior Mithun Chakraborthy Junior Sanjay Dutt
240,Aag Ka Prem Yudh,-2002.0,0,Action,6.0,,Thriller Manju,Rachana Maurya,Sanghavi,Upendra,Thriller Manju Rachana Maurya Sanghavi Upendra
241,Aag Ka Toofaan,-1993.0,137,Action,4.8,21,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani,Kanti Shah Dharmendra Sadashiv Amrapurkar Asrani
242,Aag Ke Sholay,-1988.0,138,"Action, Thriller",3.4,7,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi,S.R. Pratap Bipasha Hemant Birje Sudhir Dalvi
243,Aag Ke Sholay,-2001.0,139,Action,6.0,,Kanti Shah,Anil Nagrath,Amit Pachori,Sapna Sappu,Kanti Shah Anil Nagrath Amit Pachori Sapna Sappu
244,Aag Laga Do Sawan Ko,-1991.0,0,"Drama, Romance",5.7,7,Anup Malik,Reema Lagoo,Kuldeep Mallik,Harish Patel,Anup Malik Reema Lagoo Kuldeep Mallik Harish Patel
245,Aag Lagi Barsat Mein,-1990.0,0,Thriller,6.0,,Charanya,Y.G. Mahendran,Silk Smitha,,Charanya Y.G. Mahendran Silk Smitha 
246,Aag Se Khelenge,-1989.0,151,Action,5.0,52,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor,Subhash Ghai Bhaskar Shetty Jeetendra Anil Kapoor
247,Aagaah: The Warning,-2011.0,0,"Drama, Horror, Thriller",3.6,23,Karan Razdan,Ila Arun,Anang Desai,Zakir Hussain,Karan Razdan Ila Arun Anang Desai Zakir Hussain
248,Aage Badho,-1947.0,0,Drama,6.0,6,Yeshwant Pethkar,Dev Anand,Madhu Apte,Khurshid Begum,Yeshwant Pethkar Dev Anand Madhu Apte Khurshid Begum
249,Aage Badho,-1972.0,0,Romance,6.0,,I.S. Johar,Dilip Dutt,Ambika Johar,Rajeev Kumar,I.S. Johar Dilip Dutt Ambika Johar Rajeev Kumar
250,Aage Kadam,-1943.0,0,,6.0,,N.R. Acharya,Anjali Devi,Mubarak,Motilal,N.R. Acharya Anjali Devi Mubarak Motilal
251,Aage Ki Soch,-1988.0,0,Comedy,4.8,30,Dada Kondke,Shakti Kapoor,Huma Khan,Dada Kondke,Dada Kondke Shakti Kapoor Huma Khan Dada Kondke
252,Aage Maut Peeche Maut,-2001.0,78,Horror,3.1,7,A.T. Joy,Lekha Pande,Vimal Raj,Shakila,A.T. Joy Lekha Pande Vimal Raj Shakila
253,Aage Mod Hai,-1987.0,0,,6.0,,Ajit,Raja Bundela,Uday Chandra,Geeta Khanna,Ajit Raja Bundela Uday Chandra Geeta Khanna
254,Aagey Se Right,-2009.0,117,"Comedy, Crime, Drama",5.0,381,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra,Indrajit Nattoji Shreyas Talpade Mahie Gill Karan Veer Mehra
255,Aaghaat,-2000.0,0,Action,6.0,,Vijay Borade,Zaffar Abbas,Mohnish Bahl,Meena Bisht,Vijay Borade Zaffar Abbas Mohnish Bahl Meena Bisht
256,Aaghaaz,-2000.0,153,"Action, Crime, Drama",4.2,274,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar,Yogesh Ishwar Sunil Shetty Sushmita Sen Namrata Shirodkar
257,Aaghosh,-1953.0,0,"Drama, Romance",6.0,,R.D. Mathur,Agha,Nasir Khan,Leela Mishra,R.D. Mathur Agha Nasir Khan Leela Mishra
258,Aagman,-1982.0,0,Drama,4.8,8,Muzaffar Ali,Masood Akhtar,Bharat Bhushan,Rajina Raj Bisaria,Muzaffar Ali Masood Akhtar Bharat Bhushan Rajina Raj Bisaria
259,Aah,-1953.0,150,"Drama, Musical, Romance",7.2,275,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi,Raja Nawathe Nargis Raj Kapoor Vijayalaxmi
260,Aahat - Ek Ajeeb Kahani,-1971.0,0,Thriller,6.4,10,Kishore Rege,Jaya Bachchan,Ramesh Deo,Dharmendra,Kishore Rege Jaya Bachchan Ramesh Deo Dharmendra
261,Aah-E-Mazluman,-1935.0,0,,6.0,,N.G. Bulchandani,Abdul Rehman Kabuli,,,N.G. Bulchandani Abdul Rehman Kabuli  
262,Aahuti,-1950.0,0,,6.0,,Kulbhushan,Cuckoo,Indubala,Vikram Kapoor,Kulbhushan Cuckoo Indubala Vikram Kapoor
263,Aahuti,-1978.0,135,"Action, Drama",6.0,25,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan,Ashok V. Bhushan Rajendra Kumar Shashi Kapoor Rakesh Roshan
264,Aahuti,-1992.0,0,Drama,6.0,,Rajendra Bhatia,Arun Bali,,,Rajendra Bhatia Arun Bali  
265,Aahvaan,-2020.0,114,"Comedy, Horror",6.0,,Amrit Raj Thakur,Dev Vart Singh,Arya Chaturvedi,Muskaan Sinha,Amrit Raj Thakur Dev Vart Singh Arya Chaturvedi Muskaan Sinha
266,Aahwan,-1996.0,0,Action,6.0,,,,,,   
267,Aai Bahar,-1946.0,0,,6.0,,,,,,   
268,Aai Phirse Bahar,-1960.0,0,,6.0,,A. Bhimsingh,Padmini,Shivaji Ganesan,Rajasulochana,A. Bhimsingh Padmini Shivaji Ganesan Rajasulochana
269,Aaina,-1993.0,149,"Drama, Romance",6.0,448,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh,Deepak Sareen Jackie Shroff Juhi Chawla Amrita Singh
270,Aaina,-1977.0,150,Drama,6.8,94,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal,K. Balachander Mumtaz Rajesh Khanna A.K. Hangal
271,Aaina,-1944.0,0,"Drama, Romance",3.2,5,S.M. Yusuf,Husn Banu,Sulochana Chatterjee,Gope,S.M. Yusuf Husn Banu Sulochana Chatterjee Gope
272,Aaina,-2019.0,60,Horror,6.0,,Raja Bhargav,Komal Bharti,Urmila Chandolia,Ankit Jha,Raja Bhargav Komal Bharti Urmila Chandolia Ankit Jha
273,Aaiyash: The Desire,-2004.0,123,"Drama, Romance",6.0,,Sandeep Kumar,Akansha,Rakhi Bajaj,Amit Dhamija,Sandeep Kumar Akansha Rakhi Bajaj Amit Dhamija
274,Aaj,-1987.0,116,Drama,5.5,281,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran,Mahesh Bhatt Raj Babbar Smita Patil Raj Kiran
275,Aaj Aur Kal,-1947.0,0,"Comedy, Sci-Fi",4.1,8,Khwaja Ahmad Abbas,Nayantara,Shyam,Rashid Ahmed,Khwaja Ahmad Abbas Nayantara Shyam Rashid Ahmed
276,Aaj Aur Kal,-1963.0,144,"Drama, Romance",5.6,52,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda,Vasant Joglekar Ashok Kumar Sunil Dutt Nanda
277,Aaj Jaana Hai Ke Pyaar Kya Ha,-2004.0,0,Romance,6.0,,Vikram Naaru,Arun Bakshi,Bharat Kapoor,Shakti Kapoor,Vikram Naaru Arun Bakshi Bharat Kapoor Shakti Kapoor
278,Aaj Ka Aladdin,-1935.0,0,,6.0,5,Nagendra Majumdar,,,,Nagendra Majumdar   
279,Aaj Ka Andha Kanoon,-2003.0,46,Action,3.1,15,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali,Amit Chandra Sahay Sudesh Berry Priyanka Upendra Aman Jalali
280,Aaj Ka Arjun,-1990.0,164,"Action, Crime, Drama",4.7,586,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar,K.C. Bokadia Amitabh Bachchan Jaya Prada Radhika Sarathkumar
281,Aaj Ka Daur,-1985.0,153,"Action, Drama",5.1,40,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy,K. Bapaiah Jackie Shroff Padmini Kolhapure Nirupa Roy
282,Aaj Ka Farhad,-1948.0,0,,6.0,,Balwant Joshi,Zohra,,,Balwant Joshi Zohra  
283,Aaj Ka Gang Leader,-1993.0,0,Action,5.6,29,Kodanda Rami Reddy A.,Bhanupriya,Chiranjeevi,Radha,Kodanda Rami Reddy A. Bhanupriya Chiranjeevi Radha
284,Aaj Ka Goonda Raaj,-1992.0,147,"Action, Thriller",5.3,144,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar,Ravi Raja Pinisetty Chiranjeevi Meenakshi Sheshadri Raj Babbar
