,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
12109,Saath Saath,-1982.0,117,Drama,7.1,264,Raman Kumar,Deepti Naval,Farooq Shaikh,Satish Shah,Raman Kumar Deepti Naval Farooq Shaikh Satish Shah
12110,Saathi,-1968.0,156,"Drama, Romance",7.2,73,C.V. Sridhar,Vyjayanthimala,Rajendra Kumar,Simi Garewal,C.V. Sridhar Vyjayanthimala Rajendra Kumar Simi Garewal
12111,Saathi,-1938.0,0,,6.0,,Parshwanath Yeshwant Altekar,Durga Khote,Mubarak,,Parshwanath Yeshwant Altekar Durga Khote Mubarak 
12112,Saathi,-1991.0,175,"Action, Crime, Drama",6.2,183,Mahesh Bhatt,Aditya Pancholi,Mohsin Khan,Varsha Usgaonkar,Mahesh Bhatt Aditya Pancholi Mohsin Khan Varsha Usgaonkar
12113,Saathi,-1946.0,0,,6.0,,M. Sadiq,Mehtab,,,M. Sadiq Mehtab  
12114,Saathi: The Companion,-2005.0,0,Romance,6.0,,Faaiz Anwar,Rupa Dutta,Divij Kak,Aanchal Anand,Faaiz Anwar Rupa Dutta Divij Kak Aanchal Anand
12115,Saathiya,-2002.0,138,"Drama, Family, Romance",6.8,"6,734",Shaad Ali,Vivek Oberoi,Rani Mukerji,Shah Rukh Khan,Shaad Ali Vivek Oberoi Rani Mukerji Shah Rukh Khan
12116,Saatwan Aasman,-1992.0,130,Drama,5.1,75,Mahesh Bhatt,Vivek Mushran,Pooja Bhatt,Avtar Gill,Mahesh Bhatt Vivek Mushran Pooja Bhatt Avtar Gill
12117,Saavi: A Bonded Bride,-2015.0,150,Drama,6.7,9,Rajeev Kumar,Jaspinder Cheema,Manni Boparai,Daljinder Basran,Rajeev Kumar Jaspinder Cheema Manni Boparai Daljinder Basran
12118,Saawan... The Love Season,-2006.0,123,"Drama, Fantasy, Romance",2.8,"1,177",Saawan Kumar Tak,Salman Khan,Saloni Aswani,Kapil Jhaveri,Saawan Kumar Tak Salman Khan Saloni Aswani Kapil Jhaveri
12119,Saawariya,-2007.0,142,"Drama, Musical, Romance",5.2,"7,445",Sanjay Leela Bhansali,Ranbir Kapoor,Sonam Kapoor,Salman Khan,Sanjay Leela Bhansali Ranbir Kapoor Sonam Kapoor Salman Khan
12120,Saaya,-1961.0,0,,6.0,,Shriram,Chitra,Helen,Nasir Khan,Shriram Chitra Helen Nasir Khan
12121,Saaya,-1989.0,180,Horror,5.1,15,Keshu Ramsay,Shatrughan Sinha,Poonam Dhillon,Danny Denzongpa,Keshu Ramsay Shatrughan Sinha Poonam Dhillon Danny Denzongpa
12122,Saaya,-2003.0,135,"Drama, Fantasy, Mystery",5.8,913,Anurag Basu,John Abraham,Tara Sharma,Mahima Chaudhry,Anurag Basu John Abraham Tara Sharma Mahima Chaudhry
12123,Saaya Kaali Raat Mein,-2001.0,0,Action,6.0,,Mahmood Khan,Rani Sinha,Rajesh Tiwari,Sainora,Mahmood Khan Rani Sinha Rajesh Tiwari Sainora
12124,Saaz,-1959.0,0,Drama,6.0,,,,,,   
12125,Saaz Aur Awaaz,-1966.0,135,"Drama, Mystery, Romance",5.1,11,Subodh Mukherji,Joy Mukherjee,Saira Banu,Mumtaz Begum,Subodh Mukherji Joy Mukherjee Saira Banu Mumtaz Begum
12126,Saaz Aur Sanam,-1971.0,0,Romance,6.0,,J.B.H. Wadia,Premendra,Rekha,Suresh Chatwal,J.B.H. Wadia Premendra Rekha Suresh Chatwal
12127,Saazish,-1988.0,0,Action,5.0,44,Rajkumar Kohli,Raaj Kumar,Mithun Chakraborty,Dimple Kapadia,Rajkumar Kohli Raaj Kumar Mithun Chakraborty Dimple Kapadia
12128,Saazish,-1975.0,132,"Action, Crime, Thriller",5.7,43,Kalidas,Saira Banu,Dharmendra,Dev Kumar,Kalidas Saira Banu Dharmendra Dev Kumar
12129,Saazish,-1998.0,140,Drama,4.8,19,Sudhir R. Nair,Ishrat Ali,Pooja Batra,Vikas Bhalla,Sudhir R. Nair Ishrat Ali Pooja Batra Vikas Bhalla
12130,Sab Ka Ustad,-1965.0,0,Action,6.0,,R. Thakur,Sheikh Mukhtar,Kumkum,Sujit Kumar,R. Thakur Sheikh Mukhtar Kumkum Sujit Kumar
12131,Sab Kuch Hai Kuch Bhi Nahin,-2005.0,0,Drama,4.9,9,Abhik Bhanu,Brian Dawson,Vikram Gokhale,Puja Gupta,Abhik Bhanu Brian Dawson Vikram Gokhale Puja Gupta
12132,Sab Kushal Mangal,-2020.0,132,Romance,4.4,215,Karan Vishwanath Kashyap,Akshaye Khanna,Priyaank Sharma,Riva Kishan,Karan Vishwanath Kashyap Akshaye Khanna Priyaank Sharma Riva Kishan
12133,Sab Se Badi Adalat,-1987.0,0,Drama,6.0,,Surinder Suri,Vijayendra Ghatge,Simple Kapadia,Bharat Kapoor,Surinder Suri Vijayendra Ghatge Simple Kapadia Bharat Kapoor
12134,Sabaash Naidu,-1991.0,0,"Action, Comedy",6.0,,Kamal Haasan,Shruti Haasan,Kamal Haasan,B.J. Britt,Kamal Haasan Shruti Haasan Kamal Haasan B.J. Britt
12135,Sabak,-1973.0,0,Drama,6.0,,Jugal Kishore,Poonam Sinha,K.N. Singh,Ramesh Deo,Jugal Kishore Poonam Sinha K.N. Singh Ramesh Deo
12136,Sabak,-1950.0,0,,6.0,,M. Sadiq,Cuckoo,Karan Dewan,Gajanan Jagirdar,M. Sadiq Cuckoo Karan Dewan Gajanan Jagirdar
12137,Sabar,-1996.0,0,Drama,6.0,,V Devendra Naidu,Bharat Bhushan,Birbal,Chhaya Mahajan,V Devendra Naidu Bharat Bhushan Birbal Chhaya Mahajan
